RGN_ORI,RGN_DES,RGN_LANE_MI,NETWORK_TYPE,NO_BID,CURR_PRICE_PER_MI,CURR_CTRC_DAT_PER_MI,MDL_WINRATE_AT_NO_CHANGE,N_LOADS_BASE_CMPL_TOTAL,LANE_TYPE,N_LOADS_NC_TENDERED_TOTAL_CURR_PRICE,N_LOADS_NC_TENDERED_TOTAL_SOLN_PRICE,CO_COST_PER_LOAD,CO_CTBN_PER_LOAD_NC,OO_CTBN_PER_LOAD_NC,PO_CTBN_PER_LOAD_NC,LANE_CODE,PRICE_RECOMMENDATION
GL08,GL06,126,AUGMENTED,FALSE,3.1856983830911276,3.8851012555147055,7.325025113505708,45,DENSE,31.767722285902934,22.757358939585544,256.2456873098264,173.62830895965567,95.87399626948206,55.87399626948206,GL08-GL06,10.00%
GL08,GL10,90,AUGMENTED,FALSE,3.4815955049502834,5.245623388430769,16.347563106657606,5,DENSE,25.237282275403494,21.45582632362939,252.81,75.29359544552551,28.103595445525514,10.103595445525514,GL08-GL10,10.00%
GL08,GL14,225,AUGMENTED,FALSE,2.773931938966714,3.964297340449936,18.04369129786185,65,DENSE,39.79460479175913,33.720369411832166,400.12,266.9896862675107,263.1096862675107,150.1096862675107,GL08-GL14,10.00%
GL04,IS04,206,CORE,FALSE,4.411232873751466,3.213595322530731,4.759014214302403,90,DENSE,26.84855923451518,22.143749828259452,386.23839492081186,651.8435770719901,518.081972,489.081972,GL04-IS04,20.00%
GL06,NE22,601,CORE,FALSE,3.0595490517173896,2.6456326411262263,23.58809547355122,77.5,DENSE,15.339196265732765,13.096417510651724,788.145,1365.5679800821513,911.7129800821513,678.7129800821513,GL06-NE22,20.00%
CP02,PN06,523,AUGMENTED,FALSE,3.5529763474338556,3.0222536612724014,12.46310191483275,2.5,DENSE,51.44622985171578,38.70643752176997,717.885,1636.1256297079065,1519.0106297079064,802.0106297079064,CP02-PN06,30.00%
GL16,NE28,433,CORE,FALSE,3.3832116710116877,2.873482359498874,15.107312124903494,302.5,DENSE,313.5598385047326,230.2673102720655,627.88,1231.5006535480607,988.5906535480608,568.5906535480608,GL16-NE28,40.00%
GL18,GL12,86,AUGMENTED,FALSE,3.2294063012518937,6.153535291818029,31.60469311862092,260,DENSE,497.3409022370038,288.18461899871295,240.305,110.35194190766282,86.65694190766283,60.65694190766283,GL18-GL12,40.00%
IS12,SW32,621,CORE,FALSE,2.6881513829128583,2.2922146323529837,8.993634729278378,762.5,DENSE,152.1695439678785,101.85243721701715,845.2543377201762,1405.3436710687085,1154.5980087888847,208.59800878888473,IS12-SW32,40.00%
IS20,GL18,618,AUGMENTED,FALSE,1.954086992409233,1.8531128138353077,25.904890734958386,10,DENSE,123.83521083909365,93.29910960180548,841.83,776.1477613089056,815.9777613089057,643.9777613089057,IS20-GL18,40.00%
CP14,MT16,697,CORE,FALSE,2.7390877002313085,2.5078794887465183,5.444386594810486,585,DENSE,10.951604203360901,10.951604203360901,907.195,1001.9491270612219,729.1441271,479.1441271,CP14-MT16,0 % (no change)
CP14,PN06,606,CORE,FALSE,3.6262570108621586,2.6508733373354736,0.6078548636619747,247.5,DENSE,4.435413853456785,4.435413853456785,805.92,1391.591748582468,1083.511748582468,12.511748582468044,CP14-PN06,0 % (no change)
CP14,PN14,765,CORE,FALSE,3.2114763151952967,2.6231393941708543,0.7275057382094543,285,DENSE,9.483139314123356,9.483139314123356,985.775,1471.0043811244018,657.7793811244019,813.7793811244019,CP14-PN14,0 % (no change)
CP16,PN06,508,CORE,FALSE,3.1173928882138866,2.6907233194473226,1.075346642,60,DENSE,0.9871394628884493,0.9871394628884493,713.01,870.6255872126544,517.6355872126544,347.6355872126544,CP16-PN06,0 % (no change)
GL04,GL06,108,AUGMENTED,FALSE,4.959406301251893,7.876918749215686,18.661917050649357,5,DENSE,11.808349202378604,11.808349202378604,260.15568730982636,275.46019322537813,188.6158805352045,158.6158805352045,GL04-GL06,0 % (no change)
GL04,GL14,349,CORE,FALSE,2.9812442311824445,3.0704611272374427,3.200251856074261,55,DENSE,1.8544050437115949,1.8544050437115949,558.03,482.42423668267315,337.4542366826731,67.45423668267313,GL04-GL14,0 % (no change)
GL04,GL15,297,CORE,FALSE,2.9472551837538874,2.849039730379347,2.2340828143011744,137.5,DENSE,2.110807670315085,2.110807670315085,494.485,380.84978957490455,256.33478957490456,231.33478957490456,GL04-GL15,0 % (no change)
GL04,GL16,173,CORE,FALSE,3.8832892200828737,3.198290309552166,0.7348108667496567,205,DENSE,0.7894879810930111,0.7894879810930111,355.0686639,316.7403711293622,288.8090350743372,119.8090350743372,GL04-GL16,0 % (no change)
GL04,GL18,323,CORE,FALSE,2.9763818214522897,2.7458523205264598,1.6769257240865032,85,DENSE,2.1315312118655454,2.1315312118655454,515.94,445.4313283290895,426.3713283290896,378.3713283290896,GL04-GL18,0 % (no change)
GL04,GL22,247,CORE,FALSE,2.8126372094840604,2.982416449,3.798865413034346,145,DENSE,12.559383846074804,12.559383846074804,431.4607960262108,263.2605947163521,266.7213907425629,68.72139074,GL04-GL22,0 % (no change)
GL04,GL26,414,CORE,FALSE,2.4310604221287684,2.336066259007264,2.278899611887374,32.5,DENSE,0,0,622.14,384.3190147613101,331.4590147613101,352.4590147613101,GL04-GL26,0 % (no change)
GL04,IS08,358,CORE,FALSE,2.4253478582938124,2.5343153316923077,3.6538511723669274,205,DENSE,0.7155601396443434,0.7155601396443434,590.595,277.67953326918484,316.2745332691849,298.2745332691849,GL04-IS08,0 % (no change)
GL04,IS20,649,CORE,FALSE,2.4263086131665226,2.1622782708500776,1.4338882172676728,105,DENSE,0.23455024621290896,0.23455024621290896,883.34,691.3342899,505.67428994507304,431.67428994507304,GL04-IS20,0 % (no change)
GL04,NE22,663,CORE,FALSE,3.265462541153189,2.649020718518716,0.6893705324255819,137.5,DENSE,0.7191480130482713,0.7191480130482713,887.87,1277.1316647845642,761.0016647845641,695.0016647845641,GL04-NE22,0 % (no change)
GL04,SW04,684,CORE,FALSE,2.1707402117762102,1.954586538,1.5940201698868093,50,DENSE,0.20094164792689406,0.20094164792689406,938.9477849208282,545.8385199340995,520.7863048549277,322.7863048549277,GL04-SW04,0 % (no change)
GL04,WN06,283,CORE,FALSE,2.8716687006756536,2.938978942046332,3.1187751452027026,262.5,DENSE,3.7435227783947242,3.7435227783947242,466.395,346.28724229120996,273.68224229120995,167.68224229120995,GL04-WN06,0 % (no change)
GL06,GL12,254,CORE,FALSE,4.125214317958083,2.780444479844961,0.148133715,185,DENSE,0.023719242,0.023719242,398.09,649.7144368,620.8044367613529,427.8044367613529,GL06-GL12,0 % (no change)
GL06,GL22,175,CORE,FALSE,3.0500665519403776,3.164150834078804,9.159406203707531,205,DENSE,7.233713374961728,7.233713374961728,320.7357960262108,213.02585056335533,152.7616465895661,36.76164658956611,GL06-GL22,0 % (no change)
GL06,IS04,184,CORE,FALSE,5.028171327184977,3.588775566933192,0.2301559462360073,65,DENSE,0.19577656632275786,0.19577656632275786,329.5133949208119,595.6701293,510.18352420203587,420.18352420203587,GL06-IS04,0 % (no change)
GL06,IS08,374,CORE,FALSE,2.1618223568021357,2.559144912,6.987730815765048,100,DENSE,6.594927875090065,6.594927875090065,575.87,232.65156144399873,186.52156144399873,131.52156144399873,GL06-IS08,0 % (no change)
GL06,NE28,584,CORE,FALSE,3.5495242497452213,2.796532019403255,0.5440328622241708,167.5,DENSE,0.1314993955101609,0.1314993955101609,768.18,1304.7421618512094,918.9221618512092,736.9221618512092,GL06-NE28,0 % (no change)
GL06,SE26,769,CORE,FALSE,2.6056179877365784,2.3167929941893832,1.379921362,127.5,DENSE,0.3021679839714475,0.3021679839714475,958.36,1045.3602325694287,589.7202325694288,659.7202325694288,GL06-SE26,0 % (no change)
GL06,SW04,695,CORE,FALSE,1.876608647124716,1.982036142,4.201399624691806,55,DENSE,0.6271440856041444,0.6271440856041444,918.2227849208282,386.02022483084943,385.2430097516776,165.24300975167762,GL06-SW04,0 % (no change)
GL06,WN16,576,CORE,FALSE,2.8925579228369314,1.996206206,0.2032023922296125,42.5,DENSE,0.013546261459626101,0.013546261459626101,750.67,915.4433635540726,779.1133635540725,763.1133635540725,GL06-WN16,0 % (no change)
GL08,GL12,173,AUGMENTED,FALSE,2.8762689830349935,3.1969250030270278,4.817750490369098,22.5,DENSE,16.643712901226305,16.643712901226305,319.905,177.68953406505392,161.5945340650539,143.5945340650539,GL08-GL12,0 % (no change)
